Label,URL,Title,Description
India's Greenline Mobility Investment,https://www.reuters.com/sustainability/climate-energy/indias-greenline-mobility-invest-275-million-decarbonize-heavy-truck-fleet-2025-04-10/,India's GreenLine Mobility to invest $275 million to decarbonize heavy truck fleet | Reuters,"Trucks loaded with coal drive to the coal yard at the Deendayal Port in Kandla, in the western state of Gujarat, India, April 5, 2025. REUTERS/Amit Dave/File Photo Purchase Licensing Rights , opens new tab Companies Greenline Mobility Solutions Limited Follow Exide Industries Ltd Follow Hindustan Zinc Ltd Follow April 10 (Reuters) - India's GreenLine Mobility Solutions will invest $275 million to accelerate decarbonization of heavy trucks in the country, the company said on Thursday, in a move to cut logistics-related emissions and align its supply chain with sustainability goals. Companies in India, the world's third-largest emitter of greenhouse gases, are investing billions of dollars to help the country reach the net-zero emissions target by 2070. Sign up here. GreenLine, which is part of retail-to-mining Essar Group, said it will use the investment to deploy over 10,000 liquefied natural gas (LNG) and electric trucks. The Mumbai-based firm will also establish a nationwide network of 100 LNG refueling stations, EV charging stations and battery-swapping facilities. ""We see this as an opportunity to not only build the green mobility ecosystem, but also, in the future, invest in clean energy sources to power our electric trucks,"" said Anshuman Ruia, director of Essar Group. GreenLine supplies LNG-fueled trucks to firms such as miner Hindustan Zinc (HZNC.NS) , opens new tab and battery maker Exide Industries (EXID.NS) , opens new tab . GreenLine said its LNG-powered trucks cut carbon dioxide emissions by up to 30%. The firm currently operates a fleet of 650 LNG trucks and has covered more than 38 million kilometers so far, reducing these emissions by 10,000 tonnes. Reporting by Kashish Tandon in Bengaluru; Editing by Nidhi Verma and Shreya Biswas Our Standards: The Thomson Reuters Trust Principles. , opens new tab Share X Facebook Linkedin Email Link Purchase Licensing Rights Read Next Sustainability category Republican lawmakers face clean-energy conundrum as they work on tax bill 10:10 AM UTC Sustainability category Exclusive: EU explores tweaking methane rules for US gas to help trade talks 7:43 AM UTC Sustainability category China's ENN, Zhenhua Oil agree LNG deals with ADNOC 3:17 AM UTC Sustainability category Trump administration kicks off plan for expanded offshore drilling April 18, 2025"
Skoda EV Investment in India,https://www.reuters.com/business/autos-transportation/vws-skoda-invest-manufacturing-evs-india-despite-14-bln-tax-demand-overhang-2025-03-14/,VW's Skoda to invest in manufacturing EVs in India despite $1.4 bln tax demand overhang | Reuters,"Skoda's Enyaq electric SUV is seen on display at Bharat Mobility Global Expo organised by India's commerce ministry at Pragati Maidan in New Delhi, India, February 1, 2024. REUTERS/Anushree Fadnavis/File Photo Purchase Licensing Rights , opens new tab Summary Companies Skoda to adapt EV technology from China for India market Co will stay ""single"" and invest in India if no partner found VW faces $1.4 bln tax demand over misclassification of imports NEW DELHI, March 14 (Reuters) - Skoda Auto plans to manufacture electric cars in India and will invest in the country by itself if its search for a local partner fails, the Czech carmaker's CEO said, as its parent Volkswagen Group fights a $1.4 billion tax demand case. VW's local unit Skoda Auto Volkswagen India is embroiled in a legal tussle with the country's tax department over allegations that it misclassified imports of some Audi, VW and Skoda cars to evade higher duties. Sign up here. If the company loses the battle, against what it calls an ""impossibly enormous"" demand, it will need to fork out $2.8 billion including penalties and interest, which could become a matter of survival , one of VW's lawyers said last month. CEO Klaus Zellmer told the media this week that he was unable to comment on the ""ongoing, very critical procedure"", but that Skoda is targeting India as it looks to the world's third-largest car market for growth outside Europe. ""(It) is still our will and our strategy to form a joint venture to be even stronger in India ... but if there's no right partner we stay single and be still attractive and successful,"" he told reporters at a post-earnings press conference. Skoda has been leading Volkswagen's India strategy since 2018, but sales have remained low with the Volkswagen and Skoda brands together accounting for just 2% of India's 4 million units a year car market. But with stricter vehicle fuel efficiency standards set to kick in from 2027, all carmakers will have to introduce EVs, and Skoda believes its access to the Volkswagen Group's EV technology might give it an edge. ""We can offer very innovative, very cost efficient solutions for battery electric vehicles, and this is our strategy also for India,"" Zellmer told reporters on the virtual call. Skoda has an agreement with India's Mahindra & Mahindra (MAHM.NS) , opens new tab to supply some EV components. Zellmer did not name Mahindra or any other company in terms of potential collaborators, but said talks were ongoing with partners with ""local roots"". India, where small cars from Suzuki Motor (7269.T) , opens new tab and Hyundai (HYUN.NS) , opens new tab , (005380.KS) , opens new tab dominate the roads, has proved a difficult market for Western carmakers. But Skoda, which no longer has a big presence in China and exited Russia, says India is a ""major focus"" for its business. The company has previously shown interest in a government programme that will offer incentives for local EV manufacturing. It has also signed an initial agreement with the government in India's western Maharashtra state to invest about $1.7 billion to build EVs. Zellmer said it was important for Skoda to get its portfolio right in India, a market he said was a ""gateway"" for Southeast Asia and the Middle East. ""We are really looking for us building on ... one of the biggest potential growth markets globally,"" he added. Reporting by Aditi Shah; Additional reporting by Victoria Waldersee in Berlin; Editing by Kate Mayberry Our Standards: The Thomson Reuters Trust Principles. , opens new tab Share X Facebook Linkedin Email Link Purchase Licensing Rights Read Next Autos & Transportation category At China auto show, EV makers to grapple with autonomous-tech crackdown, launch Tesla 'killers' 7:24 AM UTC Technology category China's CATL launches new sodium-ion battery brand 10:48 AM UTC Autos & Transportation category Buick finally had cars Americans wanted to buy - then came tariffs April 19, 2025 Autos & Transportation category Exclusive: Tesla to delay US launch of affordable EV, a lower-cost Model Y, sources say April 18, 2025"
India Backs EV Tariff Cuts,https://www.reuters.com/world/india/india-backs-ev-tariff-cuts-trump-trade-deal-defying-autos-lobby-sources-say-2025-04-02/,"Exclusive: India backs EV tariff cuts for Trump trade deal, defying autos lobby, sources say | Reuters","Item 1 of 3 A Tesla electric vehicle is charged at a Tesla Supercharger battery charging station in Barakaldo, Spain, March 29, 2025. REUTERS/Vincent West/File Photo [1/3] A Tesla electric vehicle is charged at a Tesla Supercharger battery charging station in Barakaldo, Spain, March 29, 2025. REUTERS/Vincent West/File Photo Purchase Licensing Rights , opens new tab Summary Companies India to lower EV tariffs in trade deal with the US, sources say Duty cut a boost for Tesla, setback for India's Tata, Mahindra Carmakers fear immediate cuts will hurt investments, sources say Fear US deal will set precedent for EU, UK talks, sources say NEW DELHI, April 2 (Reuters) - India plans to lower import tariffs on electric cars, rejecting requests from local automakers to delay such cuts by four years, as New Delhi prioritises closing a trade deal with the United States, government and industry sources told Reuters. The automakers are lobbying Prime Minister Narendra Modi's government to delay any cut in EV tariffs until 2029, and then phase in a reduction to 30% from as high as roughly 100%, two industry sources and one government official said. Sign up here. However, New Delhi is serious about lowering EV tariffs - which have riled U.S. President Donald Trump and his ally Tesla (TSLA.O) , opens new tab CEO Elon Musk - and the sector is set to be part of the first tranche of tariff reductions in a planned bilateral trade deal, this government official - and another - said. ""We have protected the auto industry for far too long. We will have to open it up,"" the second government official said, adding the plan was to lower tariffs ""significantly"", including on EVs. The officials declined to disclose the size of the planned duty cut given ongoing negotiations with Washington. The sources, who are familiar with the talks and the auto industry's demands, declined to be named as they are not authorised to speak to the media. India's commerce ministry and the Society of Indian Automobile Manufacturers, which represents carmakers in the world's third-largest auto market, did not immediately respond to emails seeking comment. New Delhi's plan to cut duties on EVs and other goods comes as it seeks to build bridges with Trump - who has referred to India as a ""tariff king"" - even as he prepares to announce reciprocal tariffs on trading partners later on Wednesday. An immediate cut would be a victory for Tesla, which has finalised showrooms in Mumbai and New Delhi to begin selling imported cars in the South Asian nation this year. Trump has said it is currently ""impossible"" for Tesla to sell in India and it would be unfair if it had to build a factory there. But it would be a setback for domestic players like Tata Motors (TAMO.NS) , opens new tab and Mahindra & Mahindra (MAHM.NS) , opens new tab , which have invested millions of dollars in local EV manufacturing, with more to come, and lobbied against duty cuts. Automakers fear any agreement with the U.S. would set a precedent for ongoing trade talks with the European Union and Britain, intensifying competition in India's small but fast growing EV sector, three of the sources said. India's EV sales, dominated by Tata Motors, accounted for just 2.5% of total car sales of 4.3 million in 2024, and the government wants to increase this to 30% by 2030. Carmakers are open to some immediate duty cut on gasoline models, followed by a phased reduction to 30%, but say their EV investment is tied to New Delhi's incentive programme for local manufacturing that runs until 2029, and allowing cheaper imports before then would hurt their competitiveness, the sources added. ""They are not so rigid on ICE (internal combustion engine vehicles) but have sought careful consideration for EV duties given early investment commitments,"" the first government source said. Reporting by Aditi Shah, Shivangi Acharya and Aftab Ahmed. Additional reporting by Aditya Kalra in New Delhi. Editing by Mark Potter Our Standards: The Thomson Reuters Trust Principles. , opens new tab Share X Facebook Linkedin Email Link Purchase Licensing Rights Read Next India category Vance arrives in India, to hold talks with Modi under US tariffs shadow 5:03 AM UTC India category India hopes to conclude trade pact with US this year, finance minister says 6:40 AM UTC China category India to put 12% temporary tariff on steel to curb cheap China imports, source says 10:34 AM UTC India category India's infrastructure output rises 3.8% on-year in March 12:07 PM UTC · Updated ago"
