Label,URL,Title,Description
ET Auto EV Tag,https://auto.economictimes.indiatimes.com/tag/electric+vehicles,"Electric vehicles  - Latest electric vehicles , Information & Updates - Auto  -ET Auto","ELECTRIC VEHICLES Saudi Aramco signs development deal with China's EV giant BYD ​The agreement, signed by Aramco unit Saudi Aramco Technologies Company (SATC), aims to enhance vehicle efficiency and environmental performance, as the kingdom steps up efforts to transition toward cleaner mobility. Montra Electric ties up with Magenta Mobility for EV logistics supply 1.4L electric vehicles fight over 763 public charging stations PFC, IREDA mull sale of Gensol EVs to secure loans Tesla to delay US launch of affordable EV, a lower-cost Model Y, sources say Skoda India halts plans to launch imported cars Fast-charging battery firm Nyobolt raises $30 million for expansion Used Tesla market heats up as owners sell to protest Elon Musk Kia banks on India to meet electric goalpost in 2030 Exclusive Join the community of 2M+ industry professionals Subscribe to our Daily Newsletter Enter Email By continuing you agree to our Privacy Policy & Terms & Conditions Download ETAuto App for Realtime updates Seamless reading experience. Save your favourite. Scan to download App Download ETAuto App for Realtime updates of content you follow Seamless reading experience Save your favourite articles Advertisement More in ELECTRIC VEHICLES Companies across sectors limit travel, embrace electric cars & eco-certified stays as sustainability gains ground Indian companies are embracing sustainable corporate travel, driven by environmental goals and traveler preferences. Firms across sectors like technology and finance are opting for carbon-neutral flights, eco-friendly transport, and green accommodations. FM woos Austrian cos for green H2, EVs & innovation The minister said both India and Austria have identified priority areas--such as green and digital technologies, infrastructure, renewable energy, water management, life sciences, electric mobility and transportation start-ups--to enhance their economic relationship. JSW MG Motor India expects 65% of total sales to be EVs by 2025 end It had sold a total of 60,000 vehicles in 2024. At present, JSW MG Motor India sells three EV models -- ZS, Comet and Windsor -- and three internal combustion engine (ICE) vehicles -- Hector, Astor and Gloster. Kolkata set to get India's largest EV charging hub, second only to China The hub, costing ₹7.5 crore, will serve Snap-E’s electric cabs and feature fast and slow chargers. It aims for eco-friendly operations with solar panels and a microgrid. India’s EV uptake hits 7.8% in FY25; are we on track to achieve 2030 target? The government has set a target of 30% for EV adoption by 2030, however, with the current growth momentum, the journey is unlikely to be smooth. Revolt Motors aims to expand EV dealerships to 400 by FY26 The company is focusing on reaching Tier 2 and 3 cities, making electric mobility mainstream across India. Following its Sri Lanka launch, Nepal is set to be the next key international market for Revolt. Mercedes' global sales drop led by 10% fall in China orders Mercedes-Benz Group AG is experiencing a downturn in China, its largest market, with sales declining by 10per cent in the first quarter of 2025 due to intense competition and price wars. CATL in talks to buy controlling stake in Nio's power unit, sources say ​CATL made the proposal after announcing a maximum 2.5 billion yuan ($342 million) investment in the unit, Nio Power, in March, said the sources, who asked not to be named because the talks are not yet public. Toyota to boost EV models to 15, targets producing 1 million by 2027 Toyota plans to develop around 15 electric vehicle models by 2027 and aims to produce about 1 million cars annually by then EVs turn big favourites with some dog owners Roseville's fire department chose an electric Rivian SUV to ensure their therapy dog, Ashes, remains comfortable. The advanced climate control feature benefits dog owners significantly, adding to the appeal of EVs. EVs turn big favourites with some dog owners Roseville's fire department chose an electric Rivian SUV to ensure their therapy dog, Ashes, remains comfortable. The advanced climate control feature benefits dog owners significantly, adding to the appeal of EVs. Load More Advertisement Get updates on your preferred social platform Follow us for the latest news, insider access to events and more."
ET Auto EV Battery,https://auto.economictimes.indiatimes.com/tag/ev+battery,"Ev battery  - Latest ev battery , Information & Updates - Auto  -ET Auto","EV BATTERY Govt ends import duty for items needed to make EV batteries, mobile phones India has proposed exempting import duties on items used to manufacture EV batteries and mobile phones, according to Finance Minister Nirmala Sitharaman. This change will be included in the budget for the upcoming financial year. How data is transforming EV battery health monitoring Kinetic Group opens battery manufacturing facility in Ahmednagar BYD to launch its next-generation blade battery in 2025 Northvolt crisis may be make or break for Europe's EV battery ambitions State's first EV industrial park to be developed in Vilappilsala AI-powered semiconductors: Pioneering the future of the automotive industry Epsilon and Daejoo collaborate to enhance EV battery performance with silicon-graphite composite Gujarat Fluorochem EV division secures INR 1k cr for expansion Join the community of 2M+ industry professionals Subscribe to our Daily Newsletter Enter Email By continuing you agree to our Privacy Policy & Terms & Conditions Download ETAuto App for Realtime updates Seamless reading experience. Save your favourite. Scan to download App Download ETAuto App for Realtime updates of content you follow Seamless reading experience Save your favourite articles Advertisement More in EV BATTERY Indonesia to export EV battery material to US next month, says minister Indonesia aims to develop its EV industry and has for years been wooing Tesla to invest in battery making and car manufacturing in the country, trying to leverage its rich reserves of nickel, which can be processed for use in EV batteries. JSW MG looks to repurpose used EV batteries, eyes big with 'Select' JSW MG Motor India will provide damaged EV batteries to Vision Mechatronics which will repurpose it with a homegrown battery management system (BMS) for second-life usage in large-scale energy storage. Additionally, the company has a plan to launch four new models in the next two years. Two of these cars will be launched in Q1 CY2025. Kia: Keep EV incentives or risk slowdown in adoption Lee said there are impediments that are hampering the growth of EVs in India. These include an inadequate charging infrastructure. “… also, some customers talk about the cost of repairs of EVs, (and are concerned) about the price of the used car, range and safety. No one knows about the valuation of an EV battery after 5 or 10 years... I think it becomes difficult.” All new vehicles will be EVs between 2035-2040 One of the significant advantages of electric vehicles is their low running cost, which could be a potential economic boon for Indian customers who are very value-conscious. The slow adoption of EVs can be attributed to the high initial cost, primarily due to high battery costs. Metals-rich Kazakhstan seeks niche in battery supply chain The former Soviet republic promotes itself as a dependable supplier of the majority of critical materials outlined by theEuropean Union, at a time when Russia has threatened to curb exports and China is tightening control over rare earths. India's Vedanta plans to expand nickel sulphate production, to tap overseas demand Vedanta plans to increase its nickel and nickel sulphate production to meet the rising demand for EV battery materials in northeast Asia. The company aims to capitalize on the growing market, despite India's nascent EV sector, and has urged the government to negotiate trade pacts with Japan and South Korea to eliminate import duties on nickel sulphate. Vedanta urges India to push Japan, South Korea to remove import tax on an EV battery component Vedanta has asked the Indian government to push Japan and South Korea to eliminate import duties on nickel sulphate used in EV batteries. Vedanta, which imports nickel ores and converts them into nickel sulphate, aims to boost exports due to low domestic demand. Nickel is critical for India's clean technology goals. Electric vehicle battery of the future: Govt & private sector must focus on Na-ion technology Electronics industry uses Na-ion batteries in abundance while grid power storage uses this on account of cost benefit and safety. Research is going on in various laboratories all over the world to pack more energy per unit weight. GM delays Indiana electric vehicle battery factory but finalises joint venture deal with Samsung The companies finalized their agreement Tuesday to jointly run the new factory in New Carlisle, Indiana, near South Bend, but said production would not start until 2027. Previously the plant was expected to start making cells in 2026. Key PLI schemes bring significant boost to local EV manufacturing in India To bolster the domestic electric vehicle (EV) manufacturing, the government's production-linked incentive (PLI) scheme with an approved outlay of INR 25,938 crore, along with some other key initiatives, have brought a significant change for the industry. Indonesia launches first EV battery plant The country, which is the region's largest economy and home to the largest nickel reserve in the world, has been seeking to position itself as a key player in the global electric vehicle supply chain. Load More Advertisement Get updates on your preferred social platform Follow us for the latest news, insider access to events and more."
ET Auto EV Charging,https://auto.economictimes.indiatimes.com/tag/ev+charging,"Ev charging  - Latest ev charging , Information & Updates - Auto  -ET Auto","EV CHARGING Kolkata set to get India's largest EV charging hub, second only to China The hub, costing ₹7.5 crore, will serve Snap-E’s electric cabs and feature fast and slow chargers. It aims for eco-friendly operations with solar panels and a microgrid. India a key focus for nearly all Japanese firms, says Terra Charge MD A robust charging infrastructure is the key to accelerate EV adoption in India Greenie Energy raises USD 600,000 in seed funding to revolutionise EV charging across India Constant innovation is the key to accelerate EV adoption Debunking Myths: The game changing benefits of EVs Danish EV charger software firm Monta expands into US market Monetising customer data in EV charging is redefining India's automotive future Servotech collaborates with UK-based Ensmart Power to expand EV charger business in the UK Join the community of 2M+ industry professionals Subscribe to our Daily Newsletter Enter Email By continuing you agree to our Privacy Policy & Terms & Conditions Download ETAuto App for Realtime updates Seamless reading experience. Save your favourite. Scan to download App Download ETAuto App for Realtime updates of content you follow Seamless reading experience Save your favourite articles Advertisement More in EV CHARGING Driving EV: Smart for your wallet, Safe for your environment The sight of an EV charging or signage for a public charging station in the vicinity is no longer a rarity. We are seeing more and more of these every day, even in cities and locations we perhaps didn’t expect to see it. So, why this change? What is making EVs the right choice for today’s car buyers? Flextron launches rapid charging technology FlexStack for 2Ws Flextron has launched FlexStack, an innovative rapid-charging technology for electric two-wheelers made in India. It allows EVs to charge 80% in just 10 minutes with Battery-As-A-Service. The system is scalable, easy to integrate, and uses advanced liquid cooling technology. The company plans to deploy 100 FlexGrid chargers in the next 90 days. Siemens to carve out EV charging business Siemens plans to carve out its electric vehicle charging business, Siemens eMobility, combining it with recently acquired Heliox. This move aims to boost growth in the rapidly-evolving EV charging industry across Europe, North America, and Asia. The acquisition targets extending market reach primarily in Europe and North America. EV charging infra in Noida Airport soon Noida International Airport has teamed up with Statiq to establish an electric vehicle charging infrastructure. This initiative aims to support the airport's sustainability goals and reduce emissions. The first phase will include various chargers for different needs, ensuring 24/7 availability. The airport is expected to be operational by April 2025, handling 12 million passengers annually. EV charging network to be improved in Andhra Pradesh Novotel Visakhapatnam, Varun Beach has partnered with Urzza Charge Tech to enhance electric vehicle infrastructure in Andhra Pradesh. The collaboration aims to build a robust EV charging network, starting with Vizag. An EV charging station was inaugurated at INOX Vizag, and a session on the EV landscape was held with industry experts and stakeholders. Zetwerk secures ARAI certification for 60kW and 120kW DC fast chargers in India The Automotive Research Association of India, a premier research institution under the Ministry of Heavy Industries, granted this certification following rigorous testing. Zetwerk’s DC fast chargers adhere to the highest safety standards, environmental compliance, and performance criteria, ensuring reliable service across India. We should have the ability to create crucial technologies on our own: MeitY Secretary Hykon India Ltd., in collaboration with C-DAC (T), launched Hybrid Power Conditioning Systems for Microgrids. These systems, developed under the NaMPET programme, offer resilient industrial microgrid solutions with robust hardware, advanced cooling systems, and grid synchronisation features. RMC joins IOC to set up EV charging stns in city The fast four-wheeler EV charging stations are currently operational at four locations in the capital city - the Municipal Corporation Headquarters parking area, Interstate Bus Stand at Bhatagaon, the multi-level parking in front of the Collectorate, and the old bus stand multi-level parking near Jaistamb Chowk. However, these stations have been set up by the RMC. EV-charging centre with used batteries at KIA soon The new center will facilitate charging 23 electric vehicles with a capacity of 400 kW, offering both fast and regular charging facilities. Exicom to acquire industry leader Tritium; Expands global footprint in EV charging Tritium has sold over 13,000 DC Fast Chargers in 47 countries and is recognized globally as an industry leader. Founded in 2001, Tritium specializes in designing and manufacturing advanced liquid-cooled DC Fast Chargers for electric vehicles. Their products emphasize both aesthetic appeal and durability, while also being engineered to simplify installation, ownership, and usage. Exicom to acquire Australia-based Tritium to expand global footprint in EV charging The New Delhi-based power solutions company Exicom will have access to Tritium’s cutting-edge manufacturing facility in Tennessee, USA, as well as a world-class engineering centre in Brisbane, Australia. Load More Advertisement Get updates on your preferred social platform Follow us for the latest news, insider access to events and more."
ET Auto EV Policy,https://auto.economictimes.indiatimes.com/tag/ev+policy,"Ev policy  - Latest ev policy , Information & Updates - Auto  -ET Auto","EV POLICY Skoda keen to invest in India's new EV policy Martin Jahn, Skoda's global board member and head of sales & marketing, pointed to China's example, where half of the new energy vehicle market comprises hybrids or range extenders. “The other half is either PHEVs or range extenders - so some sort of a combination of battery and combustion engine. So, the question is what's really the best for India?” he told the Times of India. Atishi inaugurates 25 EV charging stns How green is your car? Component Suppliers can now be Inspected under New EV Policy Delhi Govt to extend EV policy for last time, till March 2025 Govt banks on homegrown cos to push EVs India's big dole out to Teslas stutters; Modi govt may pin hopes on desi cos UP int’l trade show set to have EV zone Hyundai, Tata doesn't want UP to give a major tax advantage to Maruti, Toyota Join the community of 2M+ industry professionals Subscribe to our Daily Newsletter Enter Email By continuing you agree to our Privacy Policy & Terms & Conditions Download ETAuto App for Realtime updates Seamless reading experience. Save your favourite. Scan to download App Download ETAuto App for Realtime updates of content you follow Seamless reading experience Save your favourite articles Advertisement More in EV POLICY UP govt revises EV policy, caps incentive for electric cars to INR 1 lakh The state government has specified benefits for electric two-wheelers, three-wheelers, four-wheelers and buses under this scheme. The UP EV Policy defines electric vehicles as vehicles which are all electric, strong hybrids and plug-in hybrids. India government developing FAME III scheme for electric mobility, says HD Kumaraswamy India's Union Minister HD Kumaraswamy announced plans for the FAME III scheme to promote electric mobility, excluded from the Union Budget. EV subsidies are extended until March 2024, with INR 11,500 crore. Discussions on hybrid car tax cuts involve PM Modi. No new info on Tesla's investment in India. Highlights include economic growth, environmental sustainability, and energy security. Will invest if 5% GST on EVs stays for 10 years: Mercedes-Benz Mercedes-Benz will invest USD 500mn in India's EV market, conditional on maintaining a 5% GST for ten years. MD & CEO Santosh Iyer highlights charging infrastructure needs and carbon neutrality. New models include EQA SUV, EQS Maybach, G Class, aiming for six models if a business case is viable. Mercedes is one of the few global carmakers to have bet on electric mobility in India very early, and is working towards having a portfolio of six green cars. Investments made in creating plant and machinery to qualify for sops under new EV policy Investing in physical infrastructure such as plant, machinery, and charging stations will qualify for incentives under the Scheme for Manufacturing of Electric Cars (SMEC). The scheme aims to boost electric vehicle manufacturing by lowering import duties on select vehicles. Companies must invest USD 500 million and comply with a 50% domestic value addition commitment to qualify. Discussions with interested parties are ongoing to clarify eligible investments. Global and local companies, including Tesla, VinFAST, Tata Motors, and Hyundai, are involved in shaping the new policy. Amitabh Kant stresses on uniform EV policy for all companies Kant says that India has drafted an EV policy and all the companies have to follow only that policy. India will not change its EV policy according to some specific companies. Government expects positive response to electric vehicle policy from multiple companies India expects positive responses from automobile companies for its electric-vehicle policy, implementing tariff adjustments to attract manufacturers like Tesla and addressing quality control standards and inverted duty structure for enhanced competitiveness. Government likely to revise EV manufacturing policy with emphasis on greenfield investment EV stocks surge by up to 253% in a year as government develops detailed guidelines under the electric-vehicle policy, attracting investments and promoting India as a manufacturing hub for EVs with specific scrutiny for border-sharing countries and import limits. Tesla 'silent'; yet to communicate its India plans: Official American tech billionaire Elon Musk, who was scheduled to visit India on April 21-22, had postponed his visit at the last moment citing ""very heavy Tesla obligations"". India's new EV policy allows imports from any country, including China: Official Chinese EV giant BYD has already entered the Indian market and has plans to cover 90 per cent of the market this year itself. Last year in November, China's largest automaker SAIC Motor inked a joint venture (JV) agreement with the JSW Group to accelerate the transformation and growth of MG Motor in India. India's new EV policy to help launch many eco-friendly premium-quality SUVs: VinFast Auto The Indian government's new electric vehicle (EV) scheme aims to drive large investments in manufacturing, create competencies and upskilling, set up a robust supply chain and offer consumers world-class, zero-tailpipe emission vehicles, VinFast India CEO Pham Sanh Chau said in a statement. India's new EV policy to help launch many eco-friendly premium-quality SUVs: VinFast Auto The Indian government's new electric vehicle (EV) scheme aims to drive large investments in manufacturing, create competencies and upskilling, set up a robust supply chain and offer consumers world-class, zero-tailpipe emission vehicles, VinFast India CEO Pham Sanh Chau said in a statement. Load More Advertisement Get updates on your preferred social platform Follow us for the latest news, insider access to events and more."
ET Auto EV Manufacturing,https://auto.economictimes.indiatimes.com/tag/ev+manufacturing,"Ev manufacturing  - Latest ev manufacturing , Information & Updates - Auto  -ET Auto","EV MANUFACTURING Oben Electric bets on vertical integration to power EV manufacturing in India The Bengaluru-based EV motorcycle maker designs and builds nearly every critical component in-house--unlike its competitors which are import-reliant--and charting its own route in India's underserved EV motorcycle space. Govt ends import duty for items needed to make EV batteries, mobile phones Hero Motors partners with Germany's STP to produce forged powertrain parts in India Volkswagen's Skoda to invest in manufacturing EVs in India despite $1.4 billion tax demand overhang ‘We must realise EV industry needs not only fiscal, but non-fiscal incentives’ Hyundai Motor India localises over 1,200 parts and battery packs to boost EV manufacturing Aiming to promote manufacturing hub in Hyderabad: CM ETAuto EV Conclave 2024: India’s roadmap to become global EV hub We need to look at taxation on batteries and EV charging services, says PM advisor Tarun Kapoor Join the community of 2M+ industry professionals Subscribe to our Daily Newsletter Enter Email By continuing you agree to our Privacy Policy & Terms & Conditions Download ETAuto App for Realtime updates Seamless reading experience. Save your favourite. Scan to download App Download ETAuto App for Realtime updates of content you follow Seamless reading experience Save your favourite articles Advertisement More in EV MANUFACTURING State's first EV industrial park to be developed in Vilappilsala The park, slated to become the state's first dedicated facility focused on the research and manufacturing of electric car components and designs, will be located on a 23-acre site owned by Trivandrum Engineering Science and Technology Research Park (TrEST), a state govt institution. Stellantis, partner Leapmotor scrap plan to make second EV model in Poland, sources say Leapmotor and Stellantis displayed the upcoming B10 EV at the Paris Motor Show four days after that meeting in an Oct. 14 debut both carmakers hailed as a milestone in their partnership. MG’s China connection prompts scrutiny for PLI benefit for EV manufacturing The review follows the company’s revised PLI application for benefits after the induction of local partner JSW Group, which now holds a 35% stake through a Singapore arm. MG, a unit of Chinese giant SAIC, had been facing challenges in expanding its operations in India after the introduction of Press Note 3 in 2020 during the Covid-19 lockdown. Ola Electric launches digital twin platform to transform EV manufacturing Ola Electric has introduced the Ola Digital Twin platform to enhance its manufacturing and product development. Using NVIDIA Omniverse, Krutrim AI, and other advanced technologies, the platform enables faster equipment layout optimisation and autonomous robot training. This innovation is already improving the efficiency at Ola's Futurefactory. Component Suppliers can now be Inspected under New EV Policy Besides, they make it mandatory for the beneficiaries to disclose their source of components and inform the ministry of heavy industries (MHI) in case of any changes. The rules also give the Centre the right to recover any wrongfully gained subsidy under the scheme. Ford in talks to make EVs in way back to India: Tamil Nadu Industries Minister T.R.B. Rajaa Ford Motor Co. is considering producing electric vehicles at its Tamil Nadu plant in southern India, marking its return to the region after a three-year hiatus. The move aligns with India's plan to enhance EV manufacturing and capitalize on Tamil Nadu's growing status as a hub for electric vehicle production. Lessons India can learn from the global success of China’s Electric Vehicle makers China's efforts to promote EVs were very well coordinated at all levels - national, provincial, and city/local levels. This coordinated and focussed approach has created a strong ecosystem for electric vehicles. The strategic infrastructure investments and regulatory support at all levels has made China the global leader in the EV market. UAW to hold strike votes at Stellantis local chapters, says union president The United Auto Workers union is preparing for potential strike authorization votes at Stellantis local chapters, citing unmet product and investment commitments. The union has filed grievances over production plans and delays in a new battery plant. This move could lead to significant disruptions for the automaker. UAW union files unfair labor practice charges against automaker Stellantis ""Like all of our competitors, Stellantis is attempting to carefully manage how and when we bring new vehicles to market with a focus on enhancing our competitiveness and ensuring our future sustainability and growth. We will communicate our plans to the UAW at the appropriate time,"" the company said. China's DiDi to become 2nd-largest shareholder of state-backed NavInfo unit DiDi Smart Transportation Technology will make up 87% of AutoAi's plan to boost its registered capital by 27.45 million yuan (USD 3.85 million), with NavInfo contributing the remainder, showed the filing with the Shenzhen Stock Exchange. Key PLI schemes bring significant boost to local EV manufacturing in India To bolster the domestic electric vehicle (EV) manufacturing, the government's production-linked incentive (PLI) scheme with an approved outlay of INR 25,938 crore, along with some other key initiatives, have brought a significant change for the industry. Load More Advertisement Get updates on your preferred social platform Follow us for the latest news, insider access to events and more."
